Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light,1_mag_acc
5360,,,,0.99000096,-0.7815988,0.18532589,,,,,
5361,-1.5007676,0.93866813,9.552969,,,,,,,,9.715586341670194
5364,-1.4432762,1.063233,9.36133,,,,,,,,9.53142224280697
5365,,,,1.0198283,-0.8540367,0.24338275,,,,,
5366,-1.3762027,1.118329,9.049918,,,,,,,,9.222017644227986
5367,,,,,,,15.385595,9.379503,-39.694824,,
5369,-1.2013328,1.1638432,8.652268,,,,,,,,8.812461235907143
5370,,,,1.0176978,-0.89931047,0.2993091,,,,,
5371,-1.0312538,1.1997752,8.364812,,,,,,,,8.513108992952779
5374,-0.8659659,1.2381029,8.108495,,,,,,,,8.248059583682469
5375,,,,0.9702936,-0.9120936,0.35044172,,,,,
5376,-0.7150507,1.3147583,7.854574,,,,,,,,7.995887668824856
5377,,,,,,,16.3102,8.359331,-39.814774,,
5379,-0.5090395,1.4081819,7.7108455,,,,,,,,7.854886109990272
5380,,,,0.8935946,-0.89345145,0.39092177,,,,,
5381,-0.27907363,1.3506904,7.576699,,,,,,,,7.701208631391213
5384,-0.04910767,1.3363175,7.4641113,,,,,,,,7.582948867218265
5385,,,,0.8041125,-0.8439167,0.42234704,,,,,
5386,0.14013514,1.2381029,7.3227777,,,,,,,,7.428028667962215
5387,,,,,,,15.233061,8.925676,-40.312424,,
5389,0.43238348,1.1566567,7.267682,,,,,,,,7.371839108971098
5390,,,,0.69865143,-0.7752072,0.44205442,,,,,
5391,0.6647449,1.0416737,7.270077,,,,,,,,7.3743467144742185
5394,0.8947109,0.95543647,7.23175,,,,,,,,7.349256731485496
5395,,,,0.58360296,-0.6995735,0.44205442,,,,,
5396,1.1198859,0.82128966,7.2053995,,,,,,,,7.338013565621284
5397,,,,,,,15.078045,9.662703,-40.170044,,
5399,1.2372643,0.73026145,7.2964277,,,,,,,,7.436528888852505
5400,,,,0.460565,-0.6260703,0.41915125,,,,,
5401,1.495976,0.62965137,7.320382,,,,,,,,7.498159618615949
5404,1.7570832,0.53383225,7.3251734,,,,,,,,7.551852990023698
5405,,,,0.32314605,-0.5435124,0.37547544,,,,,
5406,1.9822581,0.47634077,7.3730826,,,,,,,,7.649744749375796
5407,,,,,,,16.000933,8.520601,-38.58622,,
5409,2.2050376,0.42843118,7.468902,,,,,,,,7.799374409464772
5410,,,,0.18199861,-0.43645343,0.3104944,,,,,
5411,2.391885,0.34698492,7.5239983,,,,,,,,7.9026617545188715
5414,2.5044725,0.32063466,7.6988683,,,,,,,,8.10233066402467
5415,,,,0.046710137,-0.29264286,0.2274038,,,,,
5416,2.5428,0.26553866,7.866552,,,,,,,,8.271576813924817
5417,,,,,,,14.155283,9.211101,-39.878235,,
5419,2.6505966,0.18409237,8.062981,,,,,,,,8.48947671785398
5420,,,,-0.06940358,-0.11953755,0.13792168,,,,,
5421,2.7009017,0.16492856,8.221083,,,,,,,,8.65495679456897
5424,2.7152746,0.04036367,8.431885,,,,,,,,8.858387552624123
5425,,,,-0.17486465,0.058361456,0.04524374,,,,,
5426,2.6937153,-0.053059995,8.664246,,,,,,,,9.073482034425345
5427,,,,,,,14.004103,8.015596,-40.796745,,
5429,2.6314328,-0.0865967,8.896607,,,,,,,,9.27801453339106
5430,,,,-0.26541206,0.22720572,-0.04743419,,,,,
5431,2.5643594,-0.12013337,9.243952,,,,,,,,9.593801109949066
5434,2.4110487,-0.12971532,9.519432,,,,,,,,9.82087407009368
5435,,,,-0.3495679,0.3779405,-0.13744895,,,,,
5436,2.2577384,-0.18481132,9.847611,,,,,,,,10.104799865121313
5437,,,,,,,15.6952915,8.778322,-40.76351,,
5439,2.0277722,-0.15846106,10.175793,,,,,,,,10.377077294762634
5440,,,,-0.40709212,0.49831527,-0.2136153,,,,,
5441,1.8241565,-0.163252,10.53751,,,,,,,,10.695481062210161
5444,1.6492866,-0.21116155,10.846527,,,,,,,,10.973234867206068
5445,,,,-0.4273321,0.5936564,-0.27327,,,,,
5446,1.4600438,-0.22313896,11.157939,,,,,,,,11.25527083730593
5447,,,,,,,14.620005,8.741133,-42.1827,,
5449,1.2468462,-0.19439322,11.562775,,,,,,,,11.631430688916192
5450,,,,-0.42573422,0.6511806,-0.3180111,,,,,
5452,1.0120893,-0.18241584,11.958029,,,,,,,,12.002168881277182
5454,0.7342138,-0.20637062,12.451498,,,,,,,,12.47483311234718
5455,,,,-0.38205844,0.6591701,-0.349969,,,,,
5457,0.47789764,-0.2399073,12.849147,,,,14.462553,9.510588,-39.87406,,12.860269059958267
5459,0.2814684,-0.20157966,13.246796,,,,,,,,13.251319296022576
5460,,,,-0.29737,0.60643953,-0.36115426,,,,,
5462,0.10899392,-0.2423028,13.591744,,,,,,,,13.594340560800322
5464,0.0083838105,-0.29500332,13.900762,,,,,,,,13.90389446981433
5465,,,,-0.18178888,0.48233634,-0.35742584,,,,,
5467,-0.17846352,-0.33333102,14.11396,,,,16.926075,9.22996,-41.357185,,14.11902353842025
5469,-0.29823744,-0.3668677,14.24571,,,,,,,,14.253553623009985
5470,,,,-0.04436989,0.3001763,-0.3435774,,,,,
5472,-0.45633903,-0.39800885,14.28883,,,,,,,,14.30165441911808
5474,-0.48508477,-0.43633655,14.24571,,,,,,,,14.26064340144062
5475,,,,0.10103858,0.087123565,-0.32120687,,,,,
5477,-0.46352547,-0.39561346,14.176242,,,,16.463657,8.511391,-39.65796,,14.189334132144323
5479,-0.5305989,-0.41477725,14.022932,,,,,,,,14.039095314030131
5480,,,,0.23845759,-0.12965754,-0.29191214,,,,,
5482,-0.5377853,-0.38124058,13.76422,,,,,,,,13.779996720505228
5484,-0.48748025,-0.36926314,13.512695,,,,,,,,13.52652647296148
5485,,,,0.3577671,-0.3086218,-0.26368266,,,,,
5487,-0.38207918,-0.3500993,13.244401,,,,15.540678,9.2205305,-40.617706,,13.254535520660502
5489,-0.25990978,-0.34051743,12.91622,,,,,,,,12.923321720914998
5490,,,,0.44884712,-0.43698606,-0.23172477,,,,,
5492,-0.14013585,-0.32135358,12.691045,,,,,,,,12.695886316908288
5494,-0.02036193,-0.38603148,12.477848,,,,,,,,12.483834572071528
5495,,,,0.5148934,-0.52220714,-0.20189738,,,,,
5497,0.11138937,-0.39321795,12.257463,,,,13.079714,9.756599,-41.768486,,12.264274423883387
5499,0.21918592,-0.3740541,12.01073,,,,,,,,12.018552078771929
5500,,,,0.557504,-0.56268716,-0.18219002,,,,,
5502,0.3102141,-0.41238174,11.850233,,,,,,,,11.861463385333751
5503,,,,,,,,,,13.0,
5504,0.34614623,-0.31656262,11.701713,,,,,,,,11.711110802963717
5505,,,,0.5798745,-0.5594914,-0.16727632,,,,,
5507,0.33416885,-0.21595255,11.505284,,,,15.081011,7.7417526,-40.45726,,11.512161580034299
5509,0.33416885,-0.103365034,11.380719,,,,,,,,11.386093188953142
5510,,,,0.58733135,-0.5152829,-0.15715633,,,,,
5512,0.31979603,0.04515463,11.241781,,,,,,,,11.246419363218465
5514,0.31500506,0.28949344,11.1148205,,,,,,,,11.123051262439137
5515,,,,0.5857335,-0.43911657,-0.14597106,,,,,
5517,0.26949096,0.4188493,11.083679,,,,15.698376,7.145241,-41.51835,,11.094863689503951
5519,0.30063218,0.5362277,11.035769,,,,,,,,11.052878234887954
5520,,,,0.5750808,-0.35549343,-0.1299921,,,,,
5522,0.25272262,0.7206795,10.908809,,,,,,,,10.935509199980626
5524,0.27907288,0.8356626,10.774663,,,,,,,,10.810623313063834
5525,,,,0.557504,-0.26707655,-0.106023684,,,,,
5527,0.32937795,0.9314817,10.674053,,,,13.692219,10.0931835,-39.590446,,10.71968075262459
5529,0.32937795,1.0057415,10.515951,,,,,,,,10.569069553805075
5530,,,,0.5218177,-0.17706177,-0.07832683,,,,,
5532,0.3988468,0.9769957,10.290776,,,,,,,,10.34474117848604
5534,0.5114343,0.9674139,10.147047,,,,,,,,10.205881515936715
5535,,,,0.47334817,-0.08917754,-0.05702156,,,,,
5537,0.6695359,0.90513146,10.005713,,,,15.696648,8.036644,-41.064415,,10.068854647855412
5539,0.8036827,0.8356626,9.830844,,,,,,,,9.898976291296696
5540,,,,0.40783447,-0.0007606648,-0.0426405,,,,,
5542,0.9498069,0.68474734,9.670347,,,,,,,,9.740976499680803
5544,1.1270722,0.59132373,9.426008,,,,,,,,9.511549942766317
5545,,,,0.33220074,0.08179725,-0.042107873,,,,,
5547,1.2324734,0.50269103,9.23437,,,,15.696299,8.041277,-40.75495,,9.329805906354645
5550,1.3354789,0.37812614,9.090641,0.24431653,0.17021413,-0.056488924,,,,,9.195990270817902
5552,1.3833885,0.2607477,8.934935,,,,,,,,9.04515431373133
5555,1.4169251,0.25116578,8.776834,0.14471439,0.25596786,-0.08844683,,,,,8.894019116890238
5557,1.5390946,0.20804717,8.745692,,,,15.388086,9.05689,-41.548195,,8.882523536223148
5560,1.4983715,0.09066872,8.757669,0.041916452,0.3326668,-0.124665804,,,,,8.885387120568225
5562,1.5343037,0.05713202,8.738506,,,,,,,,8.872363778812215
5565,1.5271173,0.006826967,8.791205,-0.07046885,0.37527737,-0.16621107,,,,,8.922859362752654
5567,1.546281,-0.108155996,8.803184,,,,18.002861,8.668248,-40.55007,,8.938609018649812
5570,1.5438855,-0.18720677,8.85828,-0.18977834,0.38220155,-0.21095213,,,,,8.993761914251683
5572,1.4983715,-0.29979423,8.860675,,,,,,,,8.991471247130725
5575,1.5151397,-0.42675462,8.882235,,,,,,,,9.020635587996692
5576,,,,-0.31334892,0.35556996,-0.25942162,,,,,
5577,1.5007669,-0.5249692,8.961285,,,,16.927631,8.340874,-41.65638,,9.101237432366505
5580,1.5295126,-0.6854663,9.109805,,,,,,,,9.262711265068098
5581,,,,-0.43638685,0.31295943,-0.31055427,,,,,
5582,1.5798178,-0.8244041,9.140945,,,,,,,,9.313020020075049
5585,1.6133543,-0.96813273,9.258325,,,,,,,,9.447580372023872
5586,,,,-0.5540985,0.26502258,-0.36381742,,,,,
5587,1.6636595,-1.1046749,9.390076,,,,15.851381,7.882304,-41.677834,,9.600083169035894
5590,1.7067782,-1.3178726,9.5170355,,,,,,,,9.758270580491518
5591,,,,-0.6611575,0.21974888,-0.41654798,,,,,
5592,1.7259419,-1.4639969,9.68472,,,,,,,,9.945650498775091
5595,1.766665,-1.6197029,9.792516,,,,,,,,10.08156298977244
5596,,,,-0.7607596,0.17873624,-0.47140902,,,,,
5597,1.771456,-1.8185278,9.938641,,,,14.619198,9.33077,-42.189552,,10.257762165608533
5600,1.7858288,-1.991002,10.070392,,,,,,,,10.419504234874971
5601,,,,-0.85716593,0.13239728,-0.52467227,,,,,
5602,1.7810378,-2.1419172,10.257238,,,,,,,,10.628773980348281
5605,1.7690606,-2.2808552,10.46804,,,,,,,,10.858717110756658
5606,,,,-0.95676804,0.08392778,-0.5736744,,,,,
5607,1.766665,-2.290437,10.721962,,,,15.080011,9.347038,-41.559227,,11.10529945578407
5610,1.6852187,-2.3646967,11.009419,,,,,,,,11.3859149508233
5611,,,,-1.0526417,0.049839348,-0.6120239,,,,,
5612,1.6277273,-2.359906,11.330414,,,,,,,,11.687469097430688
5615,1.5702357,-2.3167872,11.651408,,,,,,,,11.982839874841954
5616,,,,-1.1202861,0.04451303,-0.64078593,,,,,
5617,1.44088,-2.2832506,11.970006,,,,15.541494,9.499135,-41.704277,,12.270713594442515
5620,1.3091286,-2.3383465,12.255068,,,,,,,,12.5446551857763
5621,,,,-1.1426566,0.08019936,-0.6594281,,,,,
5622,1.2420553,-2.3072054,12.650322,,,,,,,,12.91884456248821
5625,1.155818,-2.2856462,13.033599,,,,,,,,13.28287607009489
5626,,,,-1.1091008,0.15157202,-0.671146,,,,,
